required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,total_guests,total_nights,arrival_day_of_week,arrival_week_number,competitor_price_booking,competitor_price_expedia,competitor_price_hotels,competitor_price_trivago,competitor_min_price,competitor_max_price,competitor_avg_price,competitor_price_std,price_vs_competitors,price_advantage,is_cheapest,competitor_count,price_volatility,price_position_below,price_position_above
0,34,2018,6,19,0,0,0,81.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,1,25,77.76990903939978,89.61604100410526,70.63474299309073,96.35129974896593,70.63474299309073,96.35129974896593,83.59299819639043,11.559643137717266,-0.031019322818144738,-0.14674445701491648,0,4,0.13665011743502095,0,0
0,289,2017,10,17,0,0,0,67.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,1,42,57.95025455367675,80.11148965248965,68.89533900587921,74.5311324293712,57.95025455367675,80.11148965248965,70.3720539103542,9.462845394298432,-0.04791751445324874,-0.15616403268670498,0,4,0.13258474256862635,0,0
0,247,2018,11,19,0,0,0,63.75,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,5,0,47,72.340133502469,53.697716246791366,55.66771776997366,62.02542452513528,53.697716246791366,72.340133502469,60.93274801109233,8.3942165364722,0.0462354330120613,-0.18720132727822097,0,4,0.13553760822899014,0,0
0,186,2018,7,30,0,0,0,121.8,1,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,0,31,124.53686391924239,102.68417609751052,119.12428907257866,141.10240302595685,102.68417609751052,141.10240302595685,121.86193302882211,15.839107680325018,-0.0005082229313354373,-0.18616134081201366,0,4,0.12891794301013748,0,0
0,64,2018,11,1,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,3,44,82.00647823947679,91.51357346366765,85.01012807475419,99.11939369582434,82.00647823947679,99.11939369582434,89.41239336843074,7.590966819446593,0.04683474486935936,-0.14137324281464195,0,4,0.08395936150604247,0,0
0,35,2018,6,21,0,0,0,102.0,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,3,25,106.8737006224208,94.6453750391184,94.97911684389,102.4624683516604,94.6453750391184,106.8737006224208,99.7401652142724,5.970000846038637,0.02265721919422119,-0.07770717753341685,0,4,0.059261376367018656,0,0
0,96,2018,4,10,0,0,0,121.8,1,False,False,False,False,False,False,False,False,False,False,False,True,True,3,3,1,15,101.80272006104344,108.04751885875577,112.34516215811624,124.45773911269224,101.80272006104344,124.45773911269224,111.66328504765193,9.564997267887666,0.09077930089574442,-0.1964316859801554,0,4,0.08489897364382785,0,0
0,41,2018,6,27,0,0,0,98.1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,2,26,121.47599246420711,87.0436251528874,96.87906037211674,98.92615907211601,87.0436251528874,121.47599246420711,101.08120926533181,14.5522420506155,-0.029493209341276545,-0.1270210750953062,0,4,0.14255554137089993,0,0
0,55,2017,11,18,0,0,0,60.0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,2,4,5,46,56.342327492160464,51.03367665056468,53.395564631476425,65.80897548277507,51.03367665056468,65.80897548277507,56.645136064244156,6.483719024551173,0.05922598423898075,-0.175694246190199,0,4,0.11247642849390138,0,0
0,146,2017,12,29,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,4,52,84.35701881021237,83.23958752981908,78.3946864858355,76.54060355570068,76.54060355570068,84.35701881021237,80.6329740953919,3.760335565333885,-0.06985943602586055,0.020127925364209407,1,4,0.046063929521173136,0,0
0,32,2017,11,20,0,0,0,73.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,0,47,70.32725793508241,84.06591129328471,73.04579838148909,71.9278393689548,70.32725793508241,84.06591129328471,74.84170174470276,6.249856199443622,-0.024607961895162473,-0.03800435483187382,0,4,0.08240659235840722,0,0
0,55,2018,4,6,0,0,0,104.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,2,1,4,14,110.16005413314647,120.59689850152714,120.71800687080419,102.56417465329756,102.56417465329756,120.71800687080419,113.50978353969384,8.816891422424165,-0.08377941744879035,-0.013999287290674654,0,4,0.07699683948287148,0,0
0,57,2018,11,1,0,0,0,79.2,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,3,44,84.86174889703436,84.5437148514959,91.52290890389393,73.41973961791143,73.41973961791143,91.52290890389393,83.58702806758392,7.503157598915779,-0.0524845561447262,-0.07872896869656593,0,4,0.08870340725200625,0,0
0,7,2018,12,29,0,0,0,125.8,2,False,False,False,False,True,False,False,False,False,False,False,True,True,1,4,5,52,113.8531576323512,162.85682871092126,145.29683365217667,115.94786966881594,113.8531576323512,162.85682871092126,134.48867241606627,23.742749614541623,-0.06460523596504997,-0.10493202486510679,0,4,0.17523789399626744,0,0
0,124,2018,5,30,0,0,0,87.95,0,False,True,False,False,False,False,False,False,False,False,False,True,True,1,7,2,22,111.34548528547074,110.420143206085,90.04026650433828,84.9523985907867,84.9523985907867,111.34548528547074,99.18957339667017,13.666246194618548,-0.11331406126450266,-0.035285659486233745,0,4,0.13640387648434432,1,0
0,169,2018,4,22,0,0,0,106.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2,4,6,16,124.71547646708794,137.49480660621788,101.50472923620494,144.5743527820052,101.50472923620494,144.5743527820052,127.07234127287899,18.92270054247802,-0.1658294878476159,-0.044286318456496894,0,4,0.14775009462941044,1,0
0,6,2018,5,16,0,0,0,136.67,1,False,False,False,False,False,False,False,False,False,False,False,True,True,1,3,2,20,171.13400735804572,135.29640611764634,137.17547008854456,125.52054859269816,125.52054859269816,171.13400735804572,142.28160803923367,19.901924118698492,-0.039440150533625574,-0.08882570648635944,0,4,0.13890075907892452,0,0
0,51,2017,11,11,0,0,0,60.0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,2,4,5,45,73.89723487180311,75.2401743825428,66.25965259880054,63.47151202251882,63.47151202251882,75.2401743825428,69.71714346891632,5.742798095311062,-0.13937954117768392,0.05469401802319091,1,4,0.08120800436227045,1,0
0,13,2018,6,13,0,0,0,89.0,2,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,2,24,97.45802513252583,106.08375805349483,93.09586471896593,118.09859181506006,93.09586471896593,118.09859181506006,103.68405993001166,11.02135302758002,-0.14162311873130376,0.04399620467923425,1,4,0.10528205569165483,1,0
0,100,2018,5,19,0,0,0,136.0,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,5,20,169.19245214304618,131.04760999881793,147.01498256702826,109.70736820910362,109.70736820910362,169.19245214304618,139.240603229499,25.145518727808163,-0.0232734069972231,-0.23966149421051003,0,4,0.17930269942335014,0,0
0,139,2018,7,28,0,0,0,94.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,5,30,81.33676906419694,79.14945398147032,104.58084073071072,108.75249325498237,79.14945398147032,108.75249325498237,93.45488925784008,15.376364976851562,0.011183050458456826,-0.19394380183751364,0,4,0.16279056698566052,0,0
0,117,2018,12,26,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,2,52,85.1902381243187,107.51040845478425,111.36475763045087,122.12089477438315,85.1902381243187,122.12089477438315,106.54657474598424,15.521988918641263,-0.1215109427670476,-0.09871743595092286,0,4,0.1443280639602225,1,0
0,39,2018,4,20,0,0,0,120.6,0,False,False,False,False,True,False,False,False,False,False,False,True,False,2,5,4,16,101.401029079601,102.95432115611334,144.6320896178874,108.1998284316577,101.401029079601,144.6320896178874,114.29681707131486,20.43163880244347,0.05514749308156408,-0.18933704218452826,0,4,0.1772090446330867,0,0
0,86,2018,4,6,0,0,0,99.3,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,4,14,96.28643884860438,93.20684632301364,115.28470821540328,126.24767206749623,93.20684632301364,126.24767206749623,107.75641636362938,15.725267229030226,-0.07847714919446458,-0.06537238322462054,0,4,0.14459162737077014,0,0
0,19,2018,5,3,0,0,0,120.12,2,False,False,False,False,True,False,False,False,False,False,False,True,True,1,3,3,18,119.97484137725027,126.149648178111,104.99361917553338,141.10996763473383,104.99361917553338,141.10996763473383,123.05701909140711,14.95838161654263,-0.023867139908740048,-0.1440695248268146,0,4,0.12057666487634258,0,0
0,192,2018,6,24,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,6,25,89.75795268851925,108.97797405311668,115.17362541328269,121.25269036934769,89.75795268851925,121.25269036934769,108.79056063106658,13.642134272334346,-0.1267624741620139,-0.05840203741803088,0,4,0.12425598515865613,1,0
0,86,2018,12,18,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,1,51,90.09144406574156,96.01222011649087,83.2757526512251,63.08510596435025,63.08510596435025,96.01222011649087,83.11613069945194,14.332149756357158,-0.09764808143920804,-0.18887015965991918,0,4,0.17038527137637988,0,0
0,30,2018,10,5,0,0,0,157.5,2,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,4,40,154.99677851895055,173.3050658144072,174.2824274903203,132.48330900852673,132.48330900852673,174.2824274903203,158.76689520805118,19.63950805509917,-0.007979593015225358,-0.18882900177156034,0,4,0.1229260168667875,0,0
0,179,2018,6,3,0,0,0,97.7,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,2,6,22,92.73975873437027,111.62841231250039,83.88025815088639,86.26229753868026,83.88025815088639,111.62841231250039,93.62768168410932,12.570810892252675,0.043494810964456954,-0.16475559510384713,0,4,0.13284496321295455,0,0
0,26,2018,4,15,0,0,0,142.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2,6,15,151.8889081518968,134.53186202957698,145.88767186485524,194.22782654473912,134.53186202957698,194.22782654473912,156.63406714776704,26.075529794276793,-0.09342838000855462,-0.055512038990296116,0,4,0.16541811212568314,0,0
0,55,2018,4,6,0,0,0,80.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,4,14,70.78601147907126,92.09104102971288,86.54439080966358,104.803880662345,70.78601147907126,104.803880662345,88.55633099519818,14.098572081714654,-0.09662020658536694,-0.1301667988971658,0,4,0.15742686111683818,0,0
0,74,2018,4,25,0,0,0,85.5,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,2,17,101.66040725305638,86.90276987410755,81.48564499080751,96.78352990258635,81.48564499080751,101.66040725305638,91.70808800513944,9.172389590295884,-0.06769400758623967,-0.049264566901880066,0,4,0.09893839672097861,0,0
0,143,2018,8,25,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,5,34,85.42932960926946,124.2742838757238,88.07988121317238,110.64968035190037,85.42932960926946,124.2742838757238,102.1082937625165,18.612456460195375,-0.020647625034455733,-0.17055817313998398,0,4,0.18051366947322778,0,0
0,34,2018,11,14,0,0,0,88.0,2,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,2,46,112.10918319358895,87.28924842059807,92.1364046782305,83.42000101589305,83.42000101589305,112.10918319358895,93.73870932707764,12.755560584354447,-0.061220272481604804,-0.05490288813631609,0,4,0.13463937470708956,0,0
1,30,2018,8,29,0,0,0,122.85,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,2,35,144.37732415772342,126.88769764467432,124.70859599775685,113.37881875675781,113.37881875675781,144.37732415772342,127.33810913922811,12.810332370190352,-0.03524560847939823,-0.08353571987340595,0,4,0.09981705711662787,0,0
0,177,2018,6,3,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,6,22,91.14092135057193,101.35973887315393,86.63097199312753,93.60125444544964,86.63097199312753,101.35973887315393,93.18322166557576,6.168012953878358,0.0731545680926219,-0.1543215745972819,0,4,0.06548950911638633,0,0
0,34,2017,10,25,0,0,0,75.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True,2,5,2,43,61.69051304076428,91.35047478944911,78.16385218041474,91.75769962657527,61.69051304076428,91.75769962657527,80.74063490930085,14.18322212692375,-0.07109969986921126,-0.2157460896854754,0,4,0.17351494935978182,0,0
0,18,2018,3,9,0,0,0,116.8,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,5,4,10,139.58911162802133,151.25571575393488,103.93509081865626,136.39125765599107,103.93509081865626,151.25571575393488,132.79279396415086,20.27137050603552,-0.12043420043160118,-0.1237783031699097,0,4,0.1515131712659139,1,0
0,267,2018,12,31,0,0,0,121.5,0,False,False,False,False,True,False,False,False,False,False,False,True,True,3,2,0,1,139.13625694764332,116.2425981075126,122.36068011383406,132.56010297471667,116.2425981075126,139.13625694764332,127.57490953592665,10.232731443320208,-0.047618372280451286,-0.045227842271942605,0,4,0.07958575650765641,0,0
0,64,2018,6,27,0,0,0,111.9,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,2,26,129.2829149677418,115.98603593144925,106.31090572261523,143.61965516148382,106.31090572261523,143.61965516148382,123.79987794582253,16.22557179590173,-0.09612188754362233,-0.052573103760095434,0,4,0.1300127216706533,0,0
0,155,2018,6,28,0,0,0,121.55,2,False,False,False,False,True,False,False,False,False,False,False,True,False,3,7,3,26,142.79503889425126,141.14388236694393,146.9629690354991,101.42037549925914,101.42037549925914,146.9629690354991,133.08056644898835,21.248347630108434,-0.08664350292954441,-0.198477124558545,0,4,0.1584744768973845,0,0
0,46,2018,3,29,0,0,0,75.0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,2,5,3,13,64.0545404848261,94.76295569240662,64.71384732335669,61.57578477905303,61.57578477905303,94.76295569240662,71.27678206991061,15.715624771376438,0.05223605530392121,-0.21801127292353478,0,4,0.21743669711492283,0,0
0,83,2018,4,1,0,0,0,159.3,0,False,False,False,False,False,False,True,False,False,False,False,True,False,4,2,6,13,156.8936516562672,166.7231213440884,168.4133295584379,203.26833296431872,156.8936516562672,203.26833296431872,173.82460888077804,20.275627976991103,-0.08355899072230963,-0.015337448764369384,0,4,0.1159769674692543,0,0
0,128,2018,10,11,0,0,0,132.3,0,False,False,False,False,True,False,False,False,False,False,False,True,False,2,5,3,41,115.53755922458035,110.97357001473385,119.89165168740871,137.78588590868543,110.97357001473385,137.78588590868543,121.04716670885209,11.738158009985264,0.09296238480503824,-0.1921757584480221,0,4,0.09617722661261824,0,0
0,20,2018,12,25,0,0,0,88.0,2,False,True,False,False,False,False,False,False,False,False,False,True,True,2,2,1,52,107.09842667944403,86.1592641439828,85.19621627276027,104.36922519806367,85.19621627276027,107.09842667944403,95.70578307356269,11.639509952292705,-0.08051533382930226,-0.03290972122826756,0,4,0.12036001966334009,0,0
0,40,2018,3,14,0,0,0,98.82,0,False,False,False,False,True,False,False,False,False,False,False,True,True,2,5,2,11,109.36578761082566,106.44845122036367,90.721044782469,102.22407919720666,90.721044782469,109.36578761082566,102.18984070271624,8.188700135019545,-0.032976279046363896,-0.08927316960414954,0,4,0.079355681521117,0,0
1,46,2018,3,4,0,0,0,98.3,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,6,9,95.56854688778708,98.83704113388893,119.74948716201808,103.64410671660912,95.56854688778708,119.74948716201808,104.4497954750758,10.72550368443895,-0.0588780039932514,-0.02858108866529158,0,4,0.1017119439266626,0,0
