required_car_parking_space,lead_time,arrival_year,arrival_month,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status_Canceled,booking_status_Not_Canceled,total_guests,total_nights,arrival_date_num,adjusted_price,booking_ratio,price_per_guest,stay_density,arrival_month_sin,arrival_month_cos,meal_plan_category,meal_plan_category_num,market_segment_group,room_economy,room_standard,room_premium,room_category,room_category_num,customer_cluster
0,130,2018,5,0,0,0,94.5,1,0,1,2,3,736836,108.675,0.0,47.25,0.022900763358778626,0.49999999999999994,-0.8660254037844387,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,99,2018,4,0,0,0,114.3,1,0,1,2,2,736812,131.445,0.0,57.15,0.02,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,60,2017,9,0,0,0,65.0,0,0,1,2,2,736593,74.75,0.0,32.5,0.03278688524590164,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,2,2018,5,0,0,0,110.0,0,1,0,1,2,736833,126.49999999999999,0.0,110.0,0.6666666666666666,0.49999999999999994,-0.8660254037844387,Desayuno,0,Business,0,1,0,Estándar,1,1
0,37,2017,11,0,0,0,37.33,0,1,0,1,3,736639,42.9295,0.0,37.33,0.07894736842105263,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,56,2017,9,0,0,0,82.0,0,0,1,2,2,736589,94.3,0.0,41.0,0.03508771929824561,-1.0,-1.8369701987210297e-16,Media Pensión,1,Leisure,1,0,0,Económica,0,1
0,3,2017,9,0,0,0,177.5,1,0,1,2,2,736591,204.12499999999997,0.0,88.75,0.5,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,107,2018,11,0,0,0,87.5,1,0,1,2,4,737011,100.62499999999999,0.0,43.75,0.037037037037037035,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,56,2018,12,0,0,0,82.44,1,0,1,2,3,737035,94.80599999999998,0.0,41.22,0.05263157894736842,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,2,2018,1,0,0,0,69.5,1,0,1,2,1,736703,79.925,0.0,34.75,0.3333333333333333,0.49999999999999994,0.8660254037844387,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,72,2018,10,0,0,0,85.5,0,0,1,2,2,736974,98.32499999999999,0.0,42.75,0.0273972602739726,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
1,23,2018,4,0,0,0,115.0,1,0,1,2,1,736811,132.25,0.0,57.5,0.041666666666666664,0.8660254037844387,-0.4999999999999998,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,34,2018,6,0,0,0,81.0,0,1,0,1,3,736864,93.14999999999999,0.0,81.0,0.08571428571428572,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,289,2017,10,0,0,0,67.0,0,0,1,2,1,736619,77.05,0.0,33.5,0.0034482758620689655,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,2
0,247,2018,11,0,0,0,63.75,0,1,0,2,5,737017,73.3125,0.0,31.875,0.020161290322580645,-0.5000000000000004,0.8660254037844384,Sin Comida,2,Leisure,1,0,0,Económica,0,2
0,186,2018,7,0,0,0,121.8,1,1,0,2,3,736905,140.07,0.0,60.9,0.016042780748663103,-0.4999999999999997,-0.8660254037844388,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,64,2018,11,0,0,0,93.6,2,0,1,2,4,736999,107.63999999999999,0.0,46.8,0.06153846153846154,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,35,2018,6,0,0,0,102.0,1,0,1,2,2,736866,117.3,0.0,51.0,0.05555555555555555,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,96,2018,4,0,0,0,121.8,1,0,1,3,3,736794,140.07,0.0,40.6,0.030927835051546393,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,41,2018,6,0,0,0,98.1,1,1,0,2,2,736872,112.81499999999998,0.0,49.05,0.047619047619047616,1.2246467991473532e-16,-1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,55,2017,11,0,0,0,60.0,1,0,1,2,4,736651,69.0,0.0,30.0,0.07142857142857142,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,146,2017,12,0,0,0,75.0,0,0,1,2,3,736692,86.25,0.0,37.5,0.02040816326530612,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,32,2017,11,0,0,0,73.0,0,0,1,1,2,736653,83.94999999999999,0.0,73.0,0.06060606060606061,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,55,2018,4,0,0,0,104.0,0,0,1,2,1,736790,119.6,0.0,52.0,0.017857142857142856,0.8660254037844387,-0.4999999999999998,Media Pensión,1,Leisure,1,0,0,Económica,0,1
0,57,2018,11,0,0,0,79.2,1,0,1,2,4,736999,91.08,0.0,39.6,0.06896551724137931,-0.5000000000000004,0.8660254037844384,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,7,2018,12,0,0,0,125.8,2,0,1,1,4,737057,144.67,0.0,125.8,0.5,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,124,2018,5,0,0,0,87.95,0,0,1,1,7,736844,101.1425,0.0,87.95,0.056,0.49999999999999994,-0.8660254037844387,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,169,2018,4,0,0,0,106.0,0,1,0,2,4,736806,121.89999999999999,0.0,53.0,0.023529411764705882,0.8660254037844387,-0.4999999999999998,Media Pensión,1,Leisure,1,0,0,Económica,0,0
0,6,2018,5,0,0,0,136.67,1,0,1,1,3,736830,157.17049999999998,0.0,136.67,0.42857142857142855,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,51,2017,11,0,0,0,60.0,1,0,1,2,4,736644,69.0,0.0,30.0,0.07692307692307693,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,13,2018,6,0,0,0,89.0,2,0,1,2,1,736858,102.35,0.0,44.5,0.07142857142857142,1.2246467991473532e-16,-1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,100,2018,5,0,0,0,136.0,1,0,1,2,4,736833,156.39999999999998,0.0,68.0,0.039603960396039604,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,139,2018,7,0,0,0,94.5,1,0,1,2,1,736903,108.675,0.0,47.25,0.007142857142857143,-0.4999999999999997,-0.8660254037844388,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,117,2018,12,0,0,0,93.6,2,0,1,2,3,737054,107.63999999999999,0.0,46.8,0.025423728813559324,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,39,2018,4,0,0,0,120.6,0,1,0,2,5,736804,138.68999999999997,0.0,60.3,0.125,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,86,2018,4,0,0,0,99.3,1,0,1,2,3,736790,114.195,0.0,49.65,0.034482758620689655,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,19,2018,5,0,0,0,120.12,2,0,1,1,3,736817,138.138,0.0,120.12,0.15,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,192,2018,6,0,0,0,95.0,0,0,1,1,2,736869,109.24999999999999,0.0,95.0,0.010362694300518135,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,86,2018,12,0,0,0,75.0,0,0,1,2,3,737046,86.25,0.0,37.5,0.034482758620689655,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,30,2018,10,0,0,0,157.5,2,0,1,2,3,736972,181.125,0.0,78.75,0.0967741935483871,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,179,2018,6,0,0,0,97.7,1,0,1,2,2,736848,112.35499999999999,0.0,48.85,0.011111111111111112,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,26,2018,4,0,0,0,142.0,0,1,0,2,2,736799,163.29999999999998,0.0,71.0,0.07407407407407407,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,55,2018,4,0,0,0,80.0,0,0,1,2,1,736790,92.0,0.0,40.0,0.017857142857142856,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,74,2018,4,0,0,0,85.5,1,0,1,2,3,736809,98.32499999999999,0.0,42.75,0.04,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,143,2018,8,0,0,0,100.0,0,0,1,2,3,736931,114.99999999999999,0.0,50.0,0.020833333333333332,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,34,2018,11,0,0,0,88.0,2,0,1,2,1,737012,101.19999999999999,0.0,44.0,0.02857142857142857,-0.5000000000000004,0.8660254037844384,Sin Comida,2,Leisure,1,0,0,Económica,0,1
1,30,2018,8,0,0,0,122.85,1,0,1,2,2,736935,141.27749999999997,0.0,61.425,0.06451612903225806,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,177,2018,6,0,0,0,100.0,0,1,0,2,2,736848,114.99999999999999,0.0,50.0,0.011235955056179775,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,34,2017,10,0,0,0,75.0,0,0,1,2,5,736627,86.25,0.0,37.5,0.14285714285714285,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,18,2018,3,0,0,0,116.8,1,0,1,2,5,736762,134.32,0.0,58.4,0.2631578947368421,1.0,6.123233995736766e-17,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,267,2018,12,0,0,0,121.5,0,0,1,3,2,737059,139.725,0.0,40.5,0.007462686567164179,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,0,1,0,Estándar,1,2
0,64,2018,6,0,0,0,111.9,1,0,1,2,3,736872,128.685,0.0,55.95,0.046153846153846156,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,155,2018,6,0,0,0,121.55,2,1,0,3,7,736873,139.7825,0.0,40.516666666666666,0.04487179487179487,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,46,2018,3,0,0,0,75.0,1,0,1,2,5,736782,86.25,0.0,37.5,0.10638297872340426,1.0,6.123233995736766e-17,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,83,2018,4,0,0,0,159.3,0,1,0,4,2,736785,183.195,0.0,39.825,0.023809523809523808,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,0,1,Premium,2,0
0,128,2018,10,0,0,0,132.3,0,1,0,2,5,736978,152.145,0.0,66.15,0.03875968992248062,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,20,2018,12,0,0,0,88.0,2,0,1,2,2,737053,101.19999999999999,0.0,44.0,0.09523809523809523,-2.4492935982947064e-16,1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,40,2018,3,0,0,0,98.82,0,0,1,2,5,736767,113.64299999999999,0.0,49.41,0.12195121951219512,1.0,6.123233995736766e-17,Desayuno,0,Leisure,0,1,0,Estándar,1,1
1,46,2018,3,0,0,0,98.3,1,0,1,2,3,736757,113.04499999999999,0.0,49.15,0.06382978723404255,1.0,6.123233995736766e-17,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,1,2018,10,0,0,0,150.0,2,0,1,1,1,736984,172.5,0.0,150.0,0.5,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,196,2018,9,0,0,0,96.05,1,0,1,2,5,736941,110.45749999999998,0.0,48.025,0.025380710659898477,-1.0,-1.8369701987210297e-16,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,188,2018,6,0,0,0,130.0,0,1,0,1,2,736860,149.5,0.0,130.0,0.010582010582010581,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,17,2018,12,1,0,5,95.0,0,0,1,2,1,737038,109.24999999999999,0.8333333333333334,47.5,0.05555555555555555,-2.4492935982947064e-16,1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,146,2018,8,0,0,0,113.56,0,0,1,2,3,736915,130.594,0.0,56.78,0.02040816326530612,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,110,2018,5,0,0,0,101.58,1,0,1,2,4,736819,116.817,0.0,50.79,0.036036036036036036,0.49999999999999994,-0.8660254037844387,Sin Comida,2,Leisure,1,0,0,Económica,0,0
1,68,2018,3,0,0,0,105.3,0,0,1,2,3,736771,121.09499999999998,0.0,52.65,0.043478260869565216,1.0,6.123233995736766e-17,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,73,2018,4,0,0,0,115.8,1,0,1,2,3,736793,133.17,0.0,57.9,0.04054054054054054,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,92,2018,5,0,0,0,149.4,1,0,1,2,1,736833,171.81,0.0,74.7,0.010752688172043012,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,171,2018,8,0,0,0,111.59,0,1,0,2,7,736936,128.3285,0.0,55.795,0.040697674418604654,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,1,0,0,Económica,0,0
1,134,2018,8,0,0,0,130.5,2,0,1,3,2,736910,150.075,0.0,43.5,0.014814814814814815,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,320,2018,8,0,0,0,115.0,1,1,0,2,2,736924,132.25,0.0,57.5,0.006230529595015576,-0.8660254037844385,-0.5000000000000004,Media Pensión,1,Leisure,1,0,0,Económica,0,2
0,118,2018,4,0,0,0,90.95,1,0,1,2,4,736797,104.5925,0.0,45.475,0.03361344537815126,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,30,2018,11,0,0,0,76.08,1,0,1,2,3,737015,87.49199999999999,0.0,38.04,0.0967741935483871,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,30,2018,12,0,0,0,156.9,0,0,1,4,4,737050,180.435,0.0,39.225,0.12903225806451613,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,0,0,1,Premium,2,1
0,189,2018,10,0,0,0,85.5,2,0,1,2,1,736990,98.32499999999999,0.0,42.75,0.005263157894736842,-0.8660254037844386,0.5000000000000001,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,55,2018,5,0,0,0,159.3,2,0,1,3,3,736827,183.195,0.0,53.1,0.05357142857142857,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,55,2018,12,0,0,0,74.8,2,0,1,1,4,737041,86.02,0.0,74.8,0.07142857142857142,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,16,2017,10,0,0,0,95.0,1,0,1,2,1,736633,109.24999999999999,0.0,47.5,0.058823529411764705,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,24,2017,10,0,0,0,107.0,1,0,1,2,3,736610,123.05,0.0,53.5,0.12,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,8,2018,2,0,0,0,64.0,0,0,1,2,3,736741,73.6,0.0,32.0,0.3333333333333333,0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
1,10,2017,11,0,0,0,82.95,0,0,1,2,5,736635,95.3925,0.0,41.475,0.45454545454545453,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,0,2017,9,0,0,0,155.0,1,0,1,2,4,736593,178.25,0.0,77.5,4.0,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,12,2018,6,0,0,0,101.68,1,0,1,2,1,736875,116.932,0.0,50.84,0.07692307692307693,1.2246467991473532e-16,-1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,32,2017,9,0,0,0,94.5,3,0,1,2,3,736577,108.675,0.0,47.25,0.09090909090909091,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,182,2018,9,0,0,0,117.9,2,1,0,2,2,736967,135.585,0.0,58.95,0.01092896174863388,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,1,2018,6,0,0,0,127.0,1,0,1,2,1,736872,146.04999999999998,0.0,63.5,0.5,1.2246467991473532e-16,-1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,122,2018,6,0,0,0,116.1,2,0,1,2,3,736861,133.515,0.0,58.05,0.024390243902439025,1.2246467991473532e-16,-1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,40,2018,6,0,0,0,117.9,1,0,1,2,5,736875,135.585,0.0,58.95,0.12195121951219512,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,1
1,123,2018,8,0,0,0,155.7,1,0,1,3,4,736919,179.05499999999998,0.0,51.9,0.03225806451612903,-0.8660254037844385,-0.5000000000000004,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,40,2018,4,0,0,0,135.76,0,1,0,3,7,736806,156.12399999999997,0.0,45.25333333333333,0.17073170731707318,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,105,2018,11,0,0,0,102.83,3,0,1,3,7,737010,118.2545,0.0,34.276666666666664,0.0660377358490566,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,443,2018,4,0,0,0,65.0,0,1,0,2,1,736813,74.75,0.0,32.5,0.0022522522522522522,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,1,0,0,Económica,0,2
0,2,2017,11,0,0,0,103.0,1,0,1,2,5,736647,118.44999999999999,0.0,51.5,1.6666666666666667,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,317,2018,9,0,0,0,106.2,1,1,0,2,3,736938,122.13,0.0,53.1,0.009433962264150943,-1.0,-1.8369701987210297e-16,Desayuno,0,Leisure,1,0,0,Económica,0,2
0,286,2018,9,0,0,0,58.5,0,0,1,2,2,736953,67.27499999999999,0.0,29.25,0.006968641114982578,-1.0,-1.8369701987210297e-16,Media Pensión,1,Leisure,1,0,0,Económica,0,2
0,68,2018,3,0,0,0,73.95,0,1,0,2,4,736763,85.04249999999999,0.0,36.975,0.057971014492753624,1.0,6.123233995736766e-17,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,148,2018,5,0,0,0,105.3,0,0,1,2,3,736819,121.09499999999998,0.0,52.65,0.020134228187919462,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,68,2018,4,0,0,0,133.2,2,0,1,3,2,736808,153.17999999999998,0.0,44.4,0.028985507246376812,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,30,2018,3,0,0,0,85.5,0,0,1,2,2,736783,98.32499999999999,0.0,42.75,0.06451612903225806,1.0,6.123233995736766e-17,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,14,2018,11,0,0,0,112.0,1,1,0,1,1,737001,128.79999999999998,0.0,112.0,0.06666666666666667,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,117,2018,6,0,0,0,110.0,0,0,1,1,5,736850,126.49999999999999,0.0,110.0,0.0423728813559322,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,85,2018,7,0,0,0,91.48,1,0,1,2,5,736888,105.202,0.0,45.74,0.05813953488372093,-0.4999999999999997,-0.8660254037844388,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,1,2018,10,0,0,0,135.0,2,0,1,2,2,736987,155.25,0.0,67.5,1.0,-0.8660254037844386,0.5000000000000001,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,25,2018,10,0,0,0,129.0,2,0,1,1,3,736984,148.35,0.0,129.0,0.11538461538461539,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,289,2018,12,0,0,0,70.55,2,1,0,2,6,737056,81.1325,0.0,35.275,0.020689655172413793,-2.4492935982947064e-16,1.0,Sin Comida,2,Leisure,1,0,0,Económica,0,2
0,28,2017,10,0,0,0,75.0,0,0,1,2,5,736621,86.25,0.0,37.5,0.1724137931034483,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,80,2018,3,0,0,0,72.25,0,0,1,1,4,736782,83.08749999999999,0.0,72.25,0.04938271604938271,1.0,6.123233995736766e-17,Sin Comida,2,Leisure,1,0,0,Económica,0,0
0,11,2017,10,0,0,0,155.0,2,0,1,2,1,736611,178.25,0.0,77.5,0.08333333333333333,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,162,2018,7,0,0,0,121.5,2,1,0,3,1,736900,139.725,0.0,40.5,0.006134969325153374,-0.4999999999999997,-0.8660254037844388,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,155,2018,6,0,0,0,90.95,2,0,1,2,7,736873,104.5925,0.0,45.475,0.04487179487179487,1.2246467991473532e-16,-1.0,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,82,2018,5,0,0,0,109.65,0,0,1,1,4,736836,126.0975,0.0,109.65,0.04819277108433735,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,1,0,0,Económica,0,0
