lead_time,arrival_year,arrival_month,arrival_date,arrival_week_number,arrival_day_of_week,stays_in_weekend_nights,stays_in_week_nights,total_guests,total_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,required_car_parking_spaces,total_of_special_requests,room_type_value,meal_plan_value,market_segment_value,distribution_channel_value,customer_type_value,deposit_type_value,booking_status_Not_Canceled,avg_price_per_room
14,2015,7,2,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,98.0
10,2015,7,2,27,0,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,7,0,2.0,2,0,0,1,117.81
5,2015,7,2,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,1,2,5,0,2.0,2,0,0,1,135.0
17,2015,7,2,27,5,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,1,6,0,0.0,0,0,0,1,133.0
93,2015,7,2,27,1,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,58.95
3,2015,7,2,27,1,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,2,1,1,2.0,2,0,0,0,136.33
10,2015,7,3,27,0,0,2,4.0,2,2,2.0,0,0,0,0,0,0,1,0,7,0,2.0,2,0,0,1,153.0
3,2015,7,3,27,1,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,110.5
51,2015,7,3,27,4,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,1,97.0
71,2015,7,3,27,1,0,2,3.0,2,3,0.0,0,0,0,0,0,0,0,2,1,0,3.0,2,0,0,0,110.3
63,2015,7,3,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,0,82.0
62,2015,7,3,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,0,97.0
101,2015,7,3,27,6,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,73.8
2,2015,7,3,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,1,1,3.0,2,0,0,1,91.5
15,2015,7,3,27,6,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,114.5
51,2015,7,3,27,3,0,2,3.0,2,3,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,0,110.3
3,2015,7,3,27,4,1,2,2.0,3,2,0.0,0,0,0,0,0,0,1,0,1,0,2.0,2,0,0,1,90.9
48,2015,7,3,27,6,1,2,2.0,3,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,0,123.0
2,2015,7,3,27,2,2,2,1.0,4,1,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,122.0
72,2015,7,3,27,5,2,2,2.0,4,2,0.0,0,0,0,0,0,0,1,0,1,0,3.0,2,0,0,1,110.7
81,2015,7,3,27,0,2,6,3.0,8,3,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,0,0,1,85.86
99,2015,7,3,27,3,2,7,2.0,9,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,58.95
368,2015,7,3,27,1,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,0,55.68
364,2015,7,3,27,3,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,55.68
81,2015,7,3,27,1,3,7,2.0,10,2,0.0,0,0,0,0,2,0,0,1,1,1,0.0,0,0,0,0,124.0
99,2015,7,3,27,5,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,0,5,1,3.0,2,3,0,1,111.15
324,2015,7,3,27,5,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,0,5,1,3.0,2,3,0,1,134.73
69,2015,7,3,27,5,4,10,2.0,14,2,0.0,0,0,0,0,1,0,0,1,6,0,2.0,2,0,0,1,92.45
79,2015,7,3,27,1,6,15,3.0,21,2,1.0,0,0,0,0,0,0,0,2,1,0,3.0,2,0,0,0,108.73
12,2015,7,3,27,3,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,73.8
9,2015,7,3,27,5,0,1,2.0,1,2,0.0,0,0,0,0,0,0,1,2,1,0,2.0,2,0,0,1,98.0
1,2015,7,3,27,4,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,131.0
21,2015,7,3,27,6,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,123.0
9,2015,7,3,27,1,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,3,0,2.0,2,0,0,1,94.71
109,2015,7,3,27,1,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,123.0
109,2015,7,3,27,3,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,123.0
72,2015,7,3,27,1,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,73.8
63,2015,7,3,27,1,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,6,0,2.0,2,0,0,0,117.0
63,2015,7,3,27,5,2,5,3.0,7,3,0.0,0,0,0,0,0,0,0,1,5,1,3.0,2,0,0,1,196.54
101,2015,7,3,27,3,2,5,3.0,7,2,1.0,0,0,0,0,0,0,1,2,4,0,2.0,2,0,0,1,99.3
102,2015,7,3,27,5,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,5,0,0.0,0,0,0,1,90.95
4,2015,7,4,27,6,2,1,2.0,3,2,0.0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,1,92.67
98,2015,7,4,27,6,2,1,2.0,3,2,0.0,0,0,0,0,0,0,1,0,4,0,3.0,2,0,0,1,71.55
92,2015,7,4,27,5,2,4,3.0,6,1,2.0,0,0,0,0,0,0,0,2,6,0,3.0,2,0,0,1,96.49
95,2015,7,4,27,6,2,4,2.0,6,2,0.0,0,0,0,0,0,0,1,2,1,0,2.0,2,0,0,1,85.8
102,2015,7,4,27,3,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,5,0,2.0,2,0,0,1,96.3
26,2015,7,4,27,0,2,5,4.0,7,2,2.0,0,0,0,0,0,0,0,0,8,0,2.0,2,0,0,0,163.0
73,2015,7,4,27,5,2,5,3.0,7,3,0.0,0,0,0,0,0,0,0,1,4,1,0.0,0,0,0,0,172.0
102,2015,7,4,27,4,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,110.7
115,2015,7,4,27,4,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,1,0,3.0,2,0,0,1,58.95
102,2015,7,4,27,1,2,5,3.0,7,2,0.0,1,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,73.8
86,2015,7,4,27,6,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,4,0,2.0,2,0,0,1,97.0
78,2015,7,4,27,4,2,5,3.0,7,2,0.0,1,0,0,0,0,0,0,2,5,1,2.0,2,0,0,1,139.0
52,2015,7,4,27,1,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,67.24
29,2015,7,4,27,0,2,6,3.0,8,3,0.0,0,0,0,0,0,0,0,1,5,0,2.0,2,0,0,1,116.5
101,2015,7,4,27,3,2,6,2.0,8,2,0.0,0,0,0,0,0,0,0,1,5,0,2.0,2,0,0,0,96.3
109,2015,7,4,27,3,2,6,2.0,8,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,123.0
92,2015,7,4,27,3,4,6,2.0,10,2,0.0,0,0,0,0,0,0,0,1,4,0,3.0,2,3,0,1,71.55
92,2015,7,4,27,4,4,6,2.0,10,2,0.0,0,0,0,0,0,0,0,1,4,0,3.0,2,3,0,1,71.55
79,2015,7,4,27,0,4,6,3.0,10,2,1.0,0,0,0,0,1,0,0,1,4,1,0.0,0,0,0,1,149.0
2,2015,7,4,27,4,0,1,4.0,1,2,2.0,0,0,0,0,1,0,1,0,8,0,2.0,2,0,0,1,163.0
30,2015,7,4,27,6,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,79.5
51,2015,7,4,27,4,0,1,1.0,1,1,0.0,0,0,0,0,0,0,0,0,1,1,2.0,2,0,0,0,105.0
36,2015,7,4,27,0,0,1,1.0,1,1,0.0,0,0,0,0,1,0,0,0,5,0,0.0,0,0,0,0,123.0
73,2015,7,4,27,0,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,0,73.8
33,2015,7,4,27,6,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,0,113.0
8,2015,7,4,27,0,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,123.0
100,2015,7,4,27,0,1,1,2.0,2,2,0.0,0,0,0,0,0,0,1,1,1,0,2.0,2,1,0,1,73.8
1,2015,7,4,27,3,1,1,2.0,2,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,114.5
100,2015,7,4,27,6,1,1,2.0,2,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,1,0,1,73.8
100,2015,7,4,27,2,1,1,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,1,0,1,73.8
9,2015,7,5,28,2,1,0,2.0,1,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,88.2
5,2015,7,5,28,0,1,0,2.0,1,2,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,0,97.0
0,2015,7,5,28,2,1,0,2.0,1,2,0.0,0,0,0,0,1,0,0,0,1,0,2.0,2,0,0,1,85.1
9,2015,7,5,28,2,1,0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,89.0
2,2015,7,5,28,0,1,0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,80.1
2,2015,7,5,28,2,1,0,2.0,1,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,98.0
9,2015,7,5,28,4,1,0,1.0,1,1,0.0,0,0,0,0,0,0,1,0,1,0,2.0,2,0,0,1,101.0
5,2015,7,5,28,1,1,0,2.0,1,2,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,0,97.0
2,2015,7,5,28,6,1,0,2.0,1,2,0.0,0,0,0,0,0,0,0,1,7,0,0.0,0,0,0,1,167.0
44,2015,7,5,28,1,2,0,3.0,2,3,0.0,0,0,0,0,3,0,2,0,7,1,2.0,2,0,0,1,225.0
80,2015,7,5,28,0,2,0,2.0,2,2,0.0,0,0,0,0,0,0,1,0,4,0,2.0,2,0,0,1,97.0
97,2015,7,5,28,3,2,2,2.0,4,2,0.0,0,0,0,0,0,0,0,2,4,0,2.0,2,0,0,1,87.3
109,2015,7,5,28,6,2,3,3.0,5,2,1.0,0,0,0,0,0,0,1,2,1,0,3.0,2,0,0,1,85.59
30,2015,7,5,28,0,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,123.0
64,2015,7,5,28,3,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,107.0
39,2015,7,5,28,1,2,4,2.0,6,2,0.0,0,0,0,0,0,0,0,0,8,0,2.0,2,0,0,1,163.0
90,2015,7,5,28,0,2,4,2.0,6,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,82.0
34,2015,7,5,28,6,2,4,4.0,6,2,2.0,0,0,0,0,0,0,0,0,8,0,2.0,2,0,0,0,163.0
93,2015,7,5,28,6,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,4,1,3.0,2,0,0,0,105.5
97,2015,7,5,28,5,2,5,4.0,7,2,2.0,0,0,0,0,1,0,1,1,3,1,0.0,0,0,0,1,164.2
29,2015,7,5,28,4,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,6,0,2.0,2,0,0,1,97.29
101,2015,7,5,28,2,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,1,1,2.0,2,0,0,0,114.0
27,2015,7,5,28,3,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,5,0,3.0,2,0,0,1,98.4
8,2015,7,5,28,5,4,5,4.0,9,2,2.0,0,0,0,0,1,0,1,1,8,0,2.0,2,0,0,1,175.0
82,2015,7,5,28,2,4,6,2.0,10,2,0.0,0,0,0,0,0,0,1,2,4,0,3.0,2,0,0,1,63.6
94,2015,7,5,28,2,4,6,3.0,10,3,0.0,0,0,0,0,3,0,1,1,4,0,0.0,0,0,0,1,124.45
110,2015,7,5,28,0,4,7,2.0,11,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,110.7
96,2015,7,5,28,2,4,10,1.0,14,1,0.0,0,0,0,0,0,0,0,0,1,1,3.0,2,3,0,1,74.07
79,2015,7,5,28,4,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,0,4,1,3.0,2,3,0,1,134.1
115,2015,7,6,28,6,1,4,4.0,5,2,2.0,0,0,0,0,1,0,0,0,7,0,2.0,2,0,0,1,167.0
111,2015,7,6,28,5,1,3,2.0,4,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,123.0
51,2015,7,6,28,2,1,3,2.0,4,2,0.0,0,0,0,0,0,0,1,2,7,0,2.0,2,0,0,1,117.81
94,2015,7,6,28,0,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,1,4,0,3.0,2,0,0,1,171.32
81,2015,7,6,28,4,1,3,4.0,4,2,2.0,0,0,0,0,0,0,1,0,7,1,0.0,0,0,0,1,210.0
84,2015,7,6,28,1,1,3,3.0,4,2,0.0,1,0,0,0,1,0,0,2,4,0,2.0,2,0,0,1,97.0
51,2015,7,6,28,6,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,2,7,0,2.0,2,0,0,1,117.81
2,2015,7,6,28,6,1,0,3.0,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,131.0
7,2015,7,6,28,5,1,1,2.0,2,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,98.0
98,2015,7,6,28,6,1,1,2.0,2,2,0.0,0,0,0,0,0,0,1,1,4,0,2.0,2,0,0,1,87.3
95,2015,7,6,28,2,1,2,2.0,3,2,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,1,97.0
48,2015,7,6,28,0,1,3,2.0,4,2,0.0,0,0,0,0,0,0,0,0,5,1,2.0,2,0,0,0,167.0
66,2015,7,6,28,6,1,3,2.0,4,2,0.0,0,0,0,0,0,0,0,0,1,1,3.0,2,0,0,1,91.5
104,2015,7,6,28,6,1,3,2.0,4,2,0.0,0,0,0,0,1,0,0,1,1,0,2.0,2,0,0,1,73.8
28,2015,7,6,28,1,1,4,2.0,5,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,123.0
34,2015,7,6,28,1,1,4,2.0,5,2,0.0,0,0,0,0,0,0,1,0,6,1,0.0,0,0,0,1,175.0
98,2015,7,6,28,3,1,5,2.0,6,2,0.0,0,0,0,0,0,0,1,1,1,1,2.0,2,0,0,1,117.8
104,2015,7,6,28,4,1,5,2.0,6,2,0.0,0,0,0,0,1,0,0,0,5,0,2.0,2,0,0,1,117.63
68,2015,7,6,28,2,2,5,4.0,7,2,2.0,0,0,0,0,0,0,0,0,7,1,2.0,2,0,0,1,185.0
86,2015,7,6,28,6,2,5,1.0,7,1,0.0,0,0,0,0,0,0,0,1,1,1,3.0,2,0,0,0,71.0
258,2015,7,6,28,6,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,47.25
111,2015,7,6,28,0,3,5,2.0,8,2,0.0,0,0,0,0,0,0,0,1,1,1,2.0,2,0,0,1,151.0
94,2015,7,6,28,3,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,0,87.3
112,2015,7,6,28,4,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,1,1,0,3.0,2,0,0,1,120.6
100,2015,7,6,28,3,3,7,2.0,10,2,0.0,0,0,0,0,1,0,0,1,4,0,3.0,2,0,0,1,63.86
33,2015,7,6,28,5,3,7,2.0,10,2,0.0,0,0,0,0,5,0,0,1,6,1,0.0,0,0,0,1,157.1
97,2015,7,6,28,4,3,7,2.0,10,2,0.0,0,0,0,0,0,0,0,2,4,1,3.0,2,3,0,1,91.37
80,2015,7,6,28,6,3,8,1.0,11,1,0.0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,1,73.0
90,2015,7,6,28,6,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,110.7
111,2015,7,6,28,4,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,93.6
65,2015,7,6,28,6,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,0,0,1,83.5
67,2015,7,7,28,2,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,73.8
55,2015,7,7,28,4,0,3,2.0,3,2,0.0,0,0,0,0,0,0,1,2,1,0,2.0,2,0,0,1,82.0
21,2015,7,7,28,3,0,3,3.0,3,2,1.0,0,0,0,0,0,0,0,1,6,1,0.0,0,0,0,1,185.5
0,2015,7,7,28,4,0,1,1.0,1,1,0.0,0,0,0,0,0,0,0,3,1,0,2.0,2,0,0,1,109.8
0,2015,7,7,28,6,0,1,3.0,1,3,0.0,0,0,0,0,0,0,1,0,3,1,0.0,0,0,0,1,195.0
0,2015,7,7,28,2,0,1,1.0,1,1,0.0,0,0,0,0,0,0,0,3,1,0,2.0,2,0,0,1,109.8
8,2015,7,7,28,2,0,4,5.0,4,3,2.0,0,0,0,0,2,0,0,1,8,0,2.0,2,0,0,1,193.0
66,2015,7,7,28,5,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,2,4,0,2.0,2,0,0,1,97.0
88,2015,7,7,28,3,0,4,3.0,4,3,0.0,0,0,0,0,0,0,0,1,4,1,3.0,2,0,0,1,150.0
0,2015,7,7,28,1,0,4,2.0,4,2,0.0,0,0,0,0,2,0,0,0,1,0,0.0,0,0,0,1,98.0
43,2015,7,7,28,1,0,5,2.0,5,2,0.0,0,0,0,0,0,0,0,0,1,1,3.0,2,0,0,0,91.5
88,2015,7,7,28,4,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,5,1,2.0,2,0,0,0,139.0
54,2015,7,7,28,5,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,0,0,1,79.5
292,2015,7,7,28,0,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,0,47.25
112,2015,7,7,28,4,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,1,4,1,3.0,2,3,0,1,126.65
68,2015,7,8,28,5,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,1,5,0,2.0,2,0,0,1,107.0
7,2015,7,8,28,3,0,4,2.0,4,2,0.0,0,0,0,0,0,0,1,2,1,0,2.0,2,0,0,1,131.0
1,2015,7,8,28,3,0,4,2.0,4,2,0.0,0,0,0,0,0,0,1,1,1,0,2.0,2,0,0,1,131.0
113,2015,7,8,28,3,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,123.0
5,2015,7,8,28,3,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,1,146.0
